code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901262020541,Amul diced cheese blend (mozzarella and cheddar cheese blend),Amul,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Stretched-curd cheeses,Mozzarella,Cheddar cheese",3,c,http://world-en.openfoodfacts.org/product/8901262020541/amul-diced-cheese-blend-mozzarella-and-cheddar-cheese-blend
8901262031059,Amul ghee,Amul,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters,Butter fat,Clarified butter,Ghee",2,unknown,http://world-en.openfoodfacts.org/product/8901262031059/amul-ghee
8901262152228,Amul kool elaichi 180ml,Amul,"Beverages, Dairies, Dairy drinks",4,e,http://world-en.openfoodfacts.org/product/8901262152228/amul-kool-elaichi-180ml
8901262010023,Amul pasteurised butter,Amul,"Dairies, Fermented foods, Fermented milk products, Cheeses, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters",2,e,http://world-en.openfoodfacts.org/product/8901262010023/amul-pasteurised-butter
8901262030700,Amul pure ghee 1 ltr,Amul,"Fats, Animal fats, Butter fat, Clarified butter, Ghee, en:butters",2,unknown,http://world-en.openfoodfacts.org/product/8901262030700/amul-pure-ghee-1-ltr
8901262080118,Amulspray Infant Milk Food,Amul,"Beverages and beverages preparations,Beverages,Dairies,Milks (liquid and powder),Dried products,Milks,Dried products to be rehydrated,Dehydrated beverages,Milk powders",3,unknown,http://world-en.openfoodfacts.org/product/8901262080118/amulspray-infant-milk-food-amul
8901262301435,Berry Dazzle,Amul,Ice creams,4,c,http://world-en.openfoodfacts.org/product/8901262301435/berry-dazzle-amul
8901262178365,Black Currant Tri Cone,Amul,"Black currant ice cream cone, en:ice-creams",4,d,http://world-en.openfoodfacts.org/product/8901262178365/black-currant-tri-cone-amul
8901262260947,Buffalo Milk A2,Amul,"milk,Milk products",1,d,http://world-en.openfoodfacts.org/product/8901262260947/buffalo-milk-a2-amul
8901262221382,Butter Nankhatai,Amul,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901262221382/butter-nankhatai-amul
8901262173223,Butterscotch Bliss,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream in a box",4,d,http://world-en.openfoodfacts.org/product/8901262173223/butterscotch-bliss-amul
8901262150811,Calci+ milk,Amul,milk,1,unknown,http://world-en.openfoodfacts.org/product/8901262150811/calci-milk-amul
