code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901060000000,Britannia treat Croissant Mixed Fruit,Britannia,Snacks,4,e,http://world-en.openfoodfacts.org/product/8901063032484/britannia-treat-croissant-mixed-fruit
8901060000000,Brittania Maska chaska,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Biscuit (cookie) snack w chocolate filling",4,d,http://world-en.openfoodfacts.org/product/8901063017221/brittania-maska-chaska-britannia
8901060000000,Brown bread,Britannia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Wholemeal breads",4,c,http://world-en.openfoodfacts.org/product/8901063338685/brown-bread-britannia
8901060000000,CAKE 100% VEG Gobbles fruity fun,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, Soft fruit cakes",4,e,http://world-en.openfoodfacts.org/product/8901063363748/cake-100-veg-gobbles-fruity-fun-britannia
8901060000000,Gobbles Orange Bites cake,Britannia,"Snacks,Sweet snacks,Cakes",4,e,http://world-en.openfoodfacts.org/product/8901063363786/gobbles-orange-bites-cake-britannia
8901060000000,Good Day - Cashew Cookies,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Cooking helpers, Pastry helpers, Variety packs, Baking Mixes, Biscuits or cookies variety packs, Dessert mixes, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",4,unknown,http://world-en.openfoodfacts.org/product/8901063093522/good-day-cashew-cookies-britannia
8901060000000,Good Day Butter Cookies,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063092617/good-day-butter-cookies-britannia
8901060000000,Good Day Butter Cookies (25),Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063092686/good-day-butter-cookies-25-britannia
8901060000000,Good Day Cashew Cookies,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063093287/good-day-cashew-cookies-britannia
8901060000000,Good Day Cashew Cookies Medium Pack 600g,Britannia,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901063093355/good-day-cashew-cookies-medium-pack-600g-britannia
