code,product_name,brands,energy-kcal_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,url
8901262071109,Super Fruit,Amul,526,52.6,51.5,9.8,34.7,20.8,0.32,4,e,http://world-en.openfoodfacts.org/product/8901262071109/super-fruit-a…
8901262130325,Amul Pro Chocolate 500g pp,Amul,365,75.8,64.8,8,3.3,1.5,0.5,4,e,http://world-en.openfoodfacts.org/product/8901262130325/amul-pro-choc…
8901262150088,Amul Taaza 200ml,Amul,58,4.8,4.8,3,3,2,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262150088/amul-taaza-20…
8901262150217,Amul Taaza 500ml,Amul,58.2,4.8,4.8,3,3,2,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262150217/amul-taaza-50…
8901262151696,Amul Lassi 250 ml,Amul,87,14,14,2,2,1.2,0.065,4,e,http://world-en.openfoodfacts.org/product/8901262151696/amul-lassi-25…
8901262200189,Amul Lassi 200ml,Amul,88.5,14.5,14.5,2.1,2.1,1.25,0.075,4,e,http://world-en.openfoodfacts.org/product/8901262200189/amul-lassi-20…
8901262202244,Tadka Chhach Probiotic Buttermilk,Amul,25,1.8,1.8,1.4,1.3,0.8,0.575,3,b,http://world-en.openfoodfacts.org/product/8901262202244/tadka-chhach-…
8901262202299,Amul High Protein,Amul,68,10,10,6.3,0.1,0.1,0.21,3,b,http://world-en.openfoodfacts.org/product/8901262202299/amul-high-pro…
8901262260121,Amul Toned Milk,Amul,29,2.35,2.35,1.5,1.5,1,0.05,1,c,http://world-en.openfoodfacts.org/product/8901262260121/amul-toned-mi…
8901262300117,Chocolate Crackle Ice cream,Amul,248,27,24.4,4.8,14,8.3,0.135,4,d,http://world-en.openfoodfacts.org/product/8901262300117/chocolate-cra…
8901262301862,Protein Kulfi,Amul,95,15,3,16.7,1,0.667,0.075,4,a,http://world-en.openfoodfacts.org/product/8901262301862/protein-kulfi…
8901262010320,Amul Butter,Amul,724,0,0,1,80,48,0,4,e,http://world-en.openfoodfacts.org/product/8901262010320/amul
8901262176446,Pista malai kulfi,Amul,385,29.5,22.5,4.7,27.7,13.5,0,4,e,http://world-en.openfoodfacts.org/product/8901262176446/pista-malai-kulfi-amul
8901262178068,Choco Almond N' Kesar Badam Double Sundae,Amul,248,29.3,23.2,4,12.8,6.9,0,4,d,http://world-en.openfoodfacts.org/product/8901262178068/choco-almond-n-kesar-badam-double-sundae-amul
8901262070058,Amul Fruit 'N&quot; Nut,Amul,,,,,,,,4,d,http://world-en.openfoodfacts.org/product/8901262070058/amul-fruit-n-nut
