barcode,product name,quantity_gms,packaging,brands,ingredients,energy-kcal,fat_value_gms,saturated-fat_value_gms,carbohydrates_value_gms,sugars_value_gms,fiber_value_gms,proteins_value_gms,salt_value_mg,sodium_value_mg,added-sugars_value_gms,nova_groups,nutriscore_grade,OFF_url
8901063338685,Brown bread,450,,Britannia,"FLOURS (WHEAT FLOUR (ATTA) (32%), REFINED WHEAT FLOUR (MAIDA), WATER, YEAST, SUGAR, VITAL GLUTEN, IODISED SALT, REFINED PALMOLEIN OIL, COLOUR (150a), PRESERVATIVE (282), EMULSIFIER (472e), IMPROVER [1100(i), ACIDITY REGULATOR (260), AND FLOUR TREATMENT AGENT (510), VITAMINS",248,1.5,0.4,51.6,1.9,3,7.9,1405,562,,4,b,https://in.openfoodfacts.org/product/8901063338685
8904043551579,multgrain bread,400,,Modern,"Refined Wheat Flour (Maida), Whole Wheat Flour (Atta). Grains and Seeds Mix (Flax Seeds, Rolled Oats, Oat Flour, Maize Flour, Pumpkin Seeds, Bengal Gram Flour, Rice Flour, Barley Flour, White Sesame Seeds, Bajra, Sorghum), Sugar, Gluten, Yeast, Edible Vegetable Oil (Refined Palmoléin Oil), lodized Salt, Malt Product. Soya Flour, Preservatives (282, 200), Wheat Bran, Emulsifier (471), Acidity Regulator (260), Flour Treatment Agents (1100, 1102, 1104, 510) and Antioxidant (300). 'Other Grains Flour Mix - 10.7%",259.6,4.24,0.56,45.9,3.4,3.9,9.4,970.25,388.1,,4,a,https://in.openfoodfacts.org/product/8904043551579
8908007129019,Mr. Bready Premium Sandwich Bread,400,,Nanda's,"WHEAT FLOUR, SUGAR, YEAST, SALT, EDIBLE VEGETABLE OIL, EMULSIFIERS (471, 481 (i), PRESERVATIVE (282), ANTIOXIDANT (300), IMPROVER (INS1100), ACIDITY REGULATOR (260).",218,0.88,1.3,44.9,11,,7.65,,,,4,unknown,https://in.openfoodfacts.org/product/8908007129019
8904043551555,Atta Shakti,400,,Modern,"Whole Wheat Flour (Atta) (62.2%). Sugar, Gluten, Yeast, lodized Salt, Edible Vegetable Oil (Refined Palmolein Oil). Milk Solids, Malt Product, Preservatives (282, 200). Emulsifier (471). Acidity Regulators (341, 260), Flour Treatment Agents (1100, 1104, 1102) and Antioxidant (300).",242.6,2.3,1.05,45.6,4.38,8.4,9.9,1239,495.6,3.7,4,a,https://in.openfoodfacts.org/product/8904043551555
8901063342354,sandwich white bread,450,,Britannia,"REFINED WHEAT FLOUR (MAIDA), WATER, SUGAR YEAST, IODISED SALT, REFINED PALM OIL, SOYA FLOUR, VITAL GLUTEN, PRESERVATIVE (282), FLOUR TREATMENT AGENT (516 & 510), EMULSIFIER (472e), STABILIZER (1700), 412), ACIDITY REGULATOR (260), IMPROVERS [1101(1), 1102,1104], ANTIOXIDANT (300), VITAMINS.",254,2.4,1.5,52.6,2.4,,7.4,0,0,,4,b,https://in.openfoodfacts.org/product/8901063342354
8908014814083,Premium Burger Buns,160,,Mr Bakewell,"Refined Wheat Flour (Maida), Water, Sugar, Yeast, Refined Palm Oil, lodized Salt, Flour Improver, Emulsifiers DATEM (INS472e), Calcium Propionate (INS282), Gluten.",301.59,4.76,2.38,57.14,7.94,1.59,7.94,1230.15,492.06,7.94,4,c,https://in.openfoodfacts.org/product/8908014814083
8908007029081,JUMBO SANDWICH BREAD,800,,English Oven,"wheat flour,(maida),water,sugar,yeast,edible vegetable oil (palm),edible common salt,soya flour,wheat gluten,class ll preservative,acidity regulator(260),emulsifiers(471,472e,481(i)),,510,923,1100) and antioxidant",,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8908007029081
8906020460959,Brown Bread,50,,Harvest Gold,"Whole Wheat Flour (Atta) (32.7%), Refined Wheat Flour (Maida) (27.3%), Yeast, Sugar, Gluten, Wheat Bran, lodized Salt, Edible Vegetable Oil (Refined Palmolein Oil), Preservatives (282, 200), Emulsifier (472e), Acidity Regulators (3410), 270, 297), Flour Treatment Agents (1100, 1104 & 1102), Antioxidant (300).",246,2.06,0.34,47.78,,6.2,3.9,1092.5,437,2.49,4,unknown,https://in.openfoodfacts.org/product/8906020460959
8908002332551,Whole Wheat Bread,350,,Metro,"Refined Wheat Flour (65%), Sugar, Yeast, Edible Common Salt, Edible Vegetable Oils. Class II Preservative (282), Acidity Regulator (260), Emulsifier (472e), Soya Flour, Antioxidant (300) And Flour Treatment Agent (510)",246,1.5,0.5,51,3,,7,,,,4,unknown,https://in.openfoodfacts.org/product/8908002332551
8908007728113,white bread,250,,Bakeman's Soft bread,"Refined wheat Flour , Yeast , Sugar , Iodized Salt , Preservative(282) , Soya Flour , Emulsifier (481(i)), Acidity Regulator (270), Flour Treatment Agents (1104 & 1100), Antioxidant(300).",252.3,0.85,0.41,53.9,4.2,,7.2,428,171,,4,b,https://in.openfoodfacts.org/product/8908007728113
8908014814007,Multigrain Bread,400,,Mr Bakewell,"Refined Wheat Flour (Maida), Water, Multigrain Mix (Sunflower, Flax Seed, Sesame, Soya Seeds Rolled Oats), Whole Wheat Flour (Atta), Sugar, Edible Vegetable Oil (Palm Oil), Yeast, iodized Salt, Soya Flour, Gluten, Calcium Propionate (INS282). Bread Improver (INS 170), 1100i, Ardior fort (INS 301)",331,5,3,68,6.75,,3.5,,,5.75,4,unknown,https://in.openfoodfacts.org/product/8908014814007
8908014814076,Premium Burger Buns,250,,Mr Bakewell,"Refined Wheat Flour (Maida) Water, Sugar, Yeast, Refined Palm Oil, lodized Salt, Milk Powder, Flour Improver, Emulsifers DATEM (INS472e), Calcium Propionate (INS282), Gluten.",300,3.33,1.67,50,6.67,1.57,5.57,1000,400,,4,c,https://in.openfoodfacts.org/product/8908014814076
8908014814045,White Bread,400,,Mr Bakewell,"Refined Wheat Flour (Maida), Water, Sugar, Edible Vegetable Oil (Palm Oil), Yeast, lodized Salt, Soya Flour, Gluten, Calcium Propionate (INS282), Bread Improver (INS 170(i), 1100(i)), Antioxidant (INS 300)",313.2,4,2.5,67,4.5,2,2.3,,,4,4,unknown,https://in.openfoodfacts.org/product/8908014814045
8901648001119,White Bread,,,Mother Diary,"Refined Wheat Flour (Maida), Water, Sugar, Yeast, lodized Salt, Edible Vegetable Oil (Soyabean, Palmolein), Wheat Gluten, Soya Flour, Preservative (282), Emulsifier [471, 481 (i)], Acidity Regulator (260), Enzyme Preparations (1100(i), 1102, 1104, Xylanase) and Antioxidant (300).",233,1,0.4,48,3.5,2,7,1245,498,,4,b,https://in.openfoodfacts.org/product/8901648001119
8906030460055,White Sliced Bread,,,Moreish,"Refined Wheat Flour (Maida), Sugar, Yeast, lodised Salt, Soya Flour, Vegetable Oil (Refined Palmolien Oil), Preservatives (282), Acidity Regulator (260), Flour Treatment Agent (1100), Improvers [1100(i), 1104), Antioxidant (300).",255,1.9,0.55,51,2.43,,6.8,1290,516,2.4,4,c,https://in.openfoodfacts.org/product/8906030460055
8908014814038,Milk Bread,400,,Mr Bakewell,"Refined Wheat Flour (Maida), Water, Sugar, Skimmed Milk Powder, Edible Vegetable Oil (Palm Oil), Yeast, lodized Salt, Soya Flour, Gluten, Calcium Propionate (INS282), Bread Improver (INS 170(i), 1100(i)), Antioxidant (INS 300)",313.2,4,2.5,67,4.5,2,2.3,,,4,4,unknown,https://in.openfoodfacts.org/product/8908014814038
8908012456155,Premium Bake Bread,125,,Family,"Refined Wheat Flour (Maida), Water, Sugar, Yeast, lodised Salt, Edible Vegetable On (Palmolein/ Cotton Seed Oil/ Soyabean Ol), Gluten, Soya Flour Preservatives (282, 341 ( Emulsifiers (471, 481 (1), 472 (d)). Acidity Regulator (260), Improver (1100) & Antioxidants (300)",248.1,0.775,0,67.66,6.1,0,8.125,,,,4,unknown,https://in.openfoodfacts.org/product/8908012456155
8904022920648,100% Atta Bread,,,Bonn,"WHOLE WHEAT FLOUR-ATTA (53%), WATER, SUGAR, YEAST, EDIBLE COMMON SALT, MALT EXTRACT, REFINED PALM OIL, SOYABEAN OIL, GLUTEN, BROWN BREAD CONCENTRATE, SOY FLOUR, PRESERVATIVES [280, 281], FLOUR IMPROVERS 1100(i) & 1104], ANTIOXIDANT [300], ANTICAKING AGENT [170(i)] AND EMULSIFIERS (481(1), 471, 472e & 479].",251,1.7,0.7,48,2.4,6,7.8,1125,450,1.5,4,a,https://in.openfoodfacts.org/product/8904022920648
8908020646456,White Bread,200,,Kelson Breadman,"maida, water, sugar, yeast, iodised salt, vital gluten, ebible vegetable oil, soya flour",,,,,,,,,,,3,unknown,https://in.openfoodfacts.org/product/8908020646456
8904022932214,Wholewheat Brown Bread,,,LA Americana Gourmet,"Whole Wheat Flour - Atta (53.0%), Water, Yeast, Jaggery (2.1%), Cold Pressed Sunflower Oil, Pink Salt (1.0%) and Fermented Whole Wheat Flour (Atta).",287,2.51,0.42,51.39,2.46,8.11,10.7,1270,508,,3,a,https://in.openfoodfacts.org/product/8904022932214
8908014814144,Pav,180,,Mr Bakewell,"Refined Wheat Flour (Maida), Sugar. Yeast, Refined Palm Oil, lodized Salt, Milk Powder, Flour Improver, Emulsifiers DATEM (INS472e), Calcium Propionate (INS282)",300,3.33,1.57,60,0.67,1.67,5.57,1000,400,6.67,4,c,https://in.openfoodfacts.org/product/8908014814144
