products__code,products__brands,products__product_name,products__nova_group,products__nutriscore_grade,products__energy-kcal_100g,products__fat_100g,products__saturated-fat_100g,products__salt_100g,products__sugars_100g,products__added-sugars_100g,OFF_url
8901063093287,Britannia,Good Day Cashew Cookies,4,e,504,24,11,0,22,,https://in.openfoodfacts.org/product/8901063093287
8901063012547,Britannia,Milk bikis,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063012547
8901063017559,Britannia,Britannia 5050 Potazos,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063017559
8901719123894,Parle,Parle -G (800g),,e,454,13,6,0.74,25.5,,https://in.openfoodfacts.org/product/8901719123894
8901063142305,Britannia,Nutri Choice,3,e,485,21,10.2,1.1575,14.4,,https://in.openfoodfacts.org/product/8901063142305
8906009075068,Unibic,Atta Marie Thinz,4,d,444,11.8,6.1,0.85,20,,https://in.openfoodfacts.org/product/8906009075068
8901063035027,Britannia,Milk Bikis,,e,498,22,13,0,31.5,,https://in.openfoodfacts.org/product/8901063035027
7622201428501,Oreo,Oreo,4,e,483,19.6,9.7,1.05,38.8,,https://in.openfoodfacts.org/product/7622201428501
8901972058612,Dukes,Waffy Chocolate,4,e,500,23.33,10,0.2075,46.67,,https://in.openfoodfacts.org/product/8901972058612
8901719123139,Parle,Hide&seek bisc,4,unknown,479,18,9.3,,,,https://in.openfoodfacts.org/product/8901719123139
8901719116063,Parle,Monaco,,unknown,494,21,9.9,,7.8,,https://in.openfoodfacts.org/product/8901719116063
7622201758141,Cadbury,Bournvita Biscuits,,unknown,455,15.1,6.7,,34.2,,https://in.openfoodfacts.org/product/7622201758141
8906078263588,Cremica,Digestive High Bran Biscuits,4,e,484,22,10.5,1.04,17.5,16.5,https://in.openfoodfacts.org/product/8906078263588
8901063090347,Britannia,,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063090347
4901265161429,Britannia,Pure Magic Chocolush,,unknown,,,,,,,https://in.openfoodfacts.org/product/4901265161429
7622201675660,"Cadbury,Oreo",Cricket Edition Oreo Original,,unknown,,,,,,,https://in.openfoodfacts.org/product/7622201675660
8903363007971,,Bisky bites,,unknown,,,,,,,https://in.openfoodfacts.org/product/8903363007971
8907790000048,Ribbons & Balloons,Mr. Bear,,unknown,,,,,,,https://in.openfoodfacts.org/product/8907790000048
8901725101381,Sunfeast,Dark Fantasy Choco Fills,4,e,520,27.2,12.7,0.46,35.8,,https://in.openfoodfacts.org/product/8901725101381
8901063363595,Britannia,Muffills Choco Vanilla Flavoured,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063363595
8904022913398,bonn,Classic Bourbonn,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8904022913398
8906009078021,UNIBIC,Cashew Cookies,4,e,496,23.8,11.9,0.3075,25,,https://in.openfoodfacts.org/product/8906009078021
8906033742455,McVitie's,Digestive,4,d,453,20.7,10.6,1.875,1,,https://in.openfoodfacts.org/product/8906033742455
8901063023901,Britannia,Marie Gold,4,d,445,10.7,5.2,0.7975,21.9,20,https://in.openfoodfacts.org/product/8901063023901
8901719255151,Parle-G,Parle-G Original Gluco Biscuits,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719255151
8901719106538,Parle,Hide & Seek Cashew Butter,4,unknown,510,24,16.5,,21,,https://in.openfoodfacts.org/product/8901719106538
8901063017221,Britannia,Brittania Maska chaska,4,d,502,26,13,0,10,,https://in.openfoodfacts.org/product/8901063017221
8906151233064,Snackible,Ginger Snap Cookies,3,e,523,26.9,15.6,0.549,32.7,,https://in.openfoodfacts.org/product/8906151233064
8901063029316,Britannia,Jimjam pops,4,e,500,21.7,12.2,0.49,37.3,31.6,https://in.openfoodfacts.org/product/8901063029316
8904422704770,Patanjali,digestive biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/8904422704770
8906032018933,Patanjali,dudh biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/8906032018933
8906032018605,Patanjali,namkin biscuit 70g,,unknown,,,,,,,https://in.openfoodfacts.org/product/8906032018605
8901262221382,Amul,Butter Nankhatai,4,e,511,27,16,0.375,27.5,27.3,https://in.openfoodfacts.org/product/8901262221382
8901972062930,dukes,creme 4 fun,,e,468.3,16.3,7,0.56425,36.1,,https://in.openfoodfacts.org/product/8901972062930
8901719255144,Parle,Parle-G,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719255144
8901063162143,Britannia,marie Gold,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063162143
8906009071602,Unibic,,,unknown,497,22,13.5,,28,,https://in.openfoodfacts.org/product/8906009071602
8901063017719,Britannia,50 50 Golmaal,4,e,508,23.2,11.2,1.145,21.8,,https://in.openfoodfacts.org/product/8901063017719
9556995120946,Sapphire,Butter Cookies,,e,500,23.3,15,1.31,30,,https://in.openfoodfacts.org/product/9556995120946
8901063029286,Britannia,Jimjam 460g,4,e,483,19,9.5,0,33.5,,https://in.openfoodfacts.org/product/8901063029286
8901063091023,"Britannia,Good Day",Good Day Harmony,4,e,513,25,11.2,0.54865,21.5,,https://in.openfoodfacts.org/product/8901063091023
7001376117500,Sunfeast,glucose biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/7001376117500
8901719125812,parle,hide & seek Milano choco filled cocoa rich biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719125812
7622201757359,Cadbury,Bourn Vita biscuits,4,e,455,15.1,6.7,0.75,34.2,,https://in.openfoodfacts.org/product/7622201757359
8906075800915,Sangam,Fruit biscuits,4,d,450,25,11,0.0125,19,,https://in.openfoodfacts.org/product/8906075800915
8901719122682,Parle,Parle 20-20 Nice,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719122682
8907790000338,Ribbons & Balloons,Fruit mufflins,4,e,369.2,16.57,7.75,0.325,40.01,,https://in.openfoodfacts.org/product/8907790000338
8901063163331,Britannia,Tiger glucose biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063163331
8906009077291,Unibic,Oatmeal cookies Sugar free,,unknown,469,24.5,13.9,46.25,0.5,0,https://in.openfoodfacts.org/product/8906009077291
8902268011830,Mukkund,Kream Time,4,e,485,17.3,9.4,0.685,25.1,,https://in.openfoodfacts.org/product/8902268011830
7622201756918,Cadbury,Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit,4,e,483,19.6,9.7,1.05,38.8,,https://in.openfoodfacts.org/product/7622201756918
7622201801878,Cadbury,Oreo Original,4,e,483,19.6,9.7,1.0922,38.8,,https://in.openfoodfacts.org/product/7622201801878
8906009077017,Unibic,fruit & nut cookies,4,e,458,20,9,0.5225,25,21.5,https://in.openfoodfacts.org/product/8906009077017
8901063155329,Britannia,Tiger Crunch biscuit (2),,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063155329
8901063012615,Britannia,Milk bikies biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063012615
