code,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,nova_group,nutriscore_grade,OFF_url
8906136650275,Pintola peanut butter unsweetened,Pintola,100,610,16.3,3,,0.052,43,6,37,8,4,c,https://in.openfoodfacts.org/product/8906136650275
8908010900964,Peanut Butter,Pintola,510,605,26,16.5,14,0,40,5,33,7,4,c,https://in.openfoodfacts.org/product/8908010900964
8906116954973,Chocolate Peanut Butter,MuscleBlaze,1000,600,35.7,19,16.3,0.04675,43,16.72,19,,4,e,https://in.openfoodfacts.org/product/8906116954973
8904296902104,Fabsta Peanut Butter Creamy,Tata Fabsta,420,624,23,6,3,0.7,48,11,25,,4,d,https://in.openfoodfacts.org/product/8904296902104
8901512881106,Peanut Butter Regular,Sundrop,,647,15.2,11.7,6.5,0.5375,55,14.8,26.8,7.8,,d,https://in.openfoodfacts.org/product/8901512881106
8901512935304,Peanut butter,Sundrop,,596,29,26,21.9,0.92,44,9,24,,4,e,https://in.openfoodfacts.org/product/8901512935304
8904335600695,Dark Chocolate Peanut Butter,Yoga Bar,400,596,32.4,8.6,8.3,0.057,42.5,12.3,21,6.6,4,d,https://in.openfoodfacts.org/product/8904335600695
8908010900179,Peanut Butter,Pintola,1000,625,19,10,,0.875,50,10,26,5,4,c,https://in.openfoodfacts.org/product/8908010900179
8906002001156,Peanut butter creamy,Dr. Oetker Funfoods,925,641.5,19.3,7.5,,,51,10.4,26.3,,,unknown,https://in.openfoodfacts.org/product/8906002001156
8904327600405,Myfitness Chocolate Peanut Butter,MYFITNESS,510,625,19,10,,0.875,50,10,26,,4,e,https://in.openfoodfacts.org/product/8904327600405
8901512141705,Peanut Butter,Sundrop,924,642,20,9,,0.875,51,9.5,26,5,4,c,https://in.openfoodfacts.org/product/8901512141705
8901207045318,Chocolate Peanut Butter,Real Health,350,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8901207045318
8906116955949,Creamy Dark Chocolate Peanut Butter,MuscleBlaze,750,610.14,21.85,18.32,,0.16395,45.42,12.76,30,3.02,4,d,https://in.openfoodfacts.org/product/8906116955949
8904327600931,Myfitness Chocolate peanut butter,MYFITNESS,510,615.625,18.75,9.375,,0.8671875,46.875,9.375,25,6.25,,unknown,https://in.openfoodfacts.org/product/8904327600931
8901512144706,Peanut Butter Regular Creamy,Sundrop,924,647,15.2,11.7,,0.538,55,14.8,26.8,7.8,4,d,https://in.openfoodfacts.org/product/8901512144706
8906047529523,Peanut Butter Creamy,DiSano,350,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8906047529523
8908010900995,Pintola High Protien Peanut Butter,Pintola,1000,583,27,15.5,,0,38,7,30,6.2,4,c,https://in.openfoodfacts.org/product/8908010900995
8904327600337,CHOCOLATE PEANUT BUTTER,MYFITNESS,510,637.0,24.0,12.0,11.0,0.34,50.0,12.0,23.0,9.0,4,d,https://in.openfoodfacts.org/product/8904327600337
8904327601914,MYFITNESS Peanut Butter Smooth - Dark Chocolate,MYFITNESS,1000,637,21,8,6,0.172,50,13,30,6,4,b,https://in.openfoodfacts.org/product/8904327601914
8908010900568,High Protein Peanut Butter Organic Jaggery,Pintola,510,605.0,26.0,16.5,14.0,0.04475,40.0,5.0,33.0,7.0,4,d,https://in.openfoodfacts.org/product/8908010900568
